"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",1,1e-05,0.357741695609822,1.9999440953034e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",2,1e-05,0.357744592423668,1.99994409575608e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",3,1e-05,0.357726696502317,1.99994409295944e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",4,1e-05,0.357540268163798,1.99994406380926e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",5,1e-05,0.357377251568975,1.99994403829484e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",6,1e-05,0.356125111172047,1.9999438415383e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",7,1e-05,0.359647424290508,1.99994439152747e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",8,1e-05,0.361928862925932,1.99994474204887e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",9,1e-05,0.365245835482482,1.99994524385908e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",10,1e-05,0.365698562250823,1.99994531164412e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",11,1e-05,0.377135773645588,1.99994697010706e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",12,1e-05,0.369560963337486,1.99994588319434e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",13,1e-05,0.37011662264906,1.99994596443818e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",14,1e-05,0.371886689287086,1.99994622162397e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",15,1e-05,0.370076844373154,1.99994595863024e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",16,1e-05,0.370759489791801,1.99994605812897e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",17,1e-05,0.371156401271566,1.99994611581239e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",18,1e-05,0.371977752030536,1.99994623478894e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",19,1e-05,0.370952548377337,1.99994608620173e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",20,1e-05,0.380841821050838,1.99994748613793e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",21,1e-05,0.381662474830982,1.99994759905071e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",22,1e-05,0.382170446060891,1.99994766869889e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",23,1e-05,0.376183418324618,1.99994683585883e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",24,1e-05,0.374144357177238,1.99994654612564e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",25,1e-05,0.388679375479648,1.9999485450304e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",26,1e-05,0.392311240467373,1.99994902136837e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",27,1e-05,0.401116885041718,1.99995014046491e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",28,1e-05,0.401382760249786,1.99995017349095e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",29,1e-05,0.401822405606702,1.9999502280062e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",30,1e-05,0.41206569741649,1.99995146522805e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",31,1e-05,0.412947525613625,1.99995156886905e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",32,1e-05,0.413828172418325,1.9999516719304e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",33,1e-05,0.402178929965707,1.99995027212708e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",34,1e-05,0.410981893064519,1.99995133723965e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",35,1e-05,0.409906221866734,1.9999512095425e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",36,1e-05,0.399692266347708,1.99994996275557e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",37,1e-05,0.402173739895662,1.99995027148535e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",38,1e-05,0.401201829225841,1.99995015102112e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",39,1e-05,0.400499993078941,1.99995006366796e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",40,1e-05,0.400451546682631,1.99995005762684e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",41,1e-05,0.415082199715923,1.99995181793343e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",42,1e-05,0.425007385106699,1.99995294310139e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",43,1e-05,0.421129973967893,1.99995250985127e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",44,1e-05,0.422885158418805,1.99995270695443e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",45,1e-05,0.421406726032847,1.99995254103892e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",46,1e-05,0.422704854093304,1.9999526867821e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",47,1e-05,0.424699965292382,1.99995290903997e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",48,1e-05,0.424970712301686,1.99995293904071e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",49,1e-05,0.424494117632502,1.99995288620494e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm",50,1e-05,0.417881017528892,1.99995214063198e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",1,0.260347486920582,0.314321047754673,0.284799636421426
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",2,1e-05,0.352426717169981,1.99994325222366e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",3,0.224204295794858,0.416893943701351,0.291591544978046
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",4,1e-05,0.35887887790609,1.99994427244412e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",5,1e-05,0.337244938036707,1.99994069768076e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",6,0.25553170917811,0.315964254982232,0.282552777895542
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",7,0.178310141665138,0.314969476750631,0.227709598867967
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",8,0.297861980896466,0.293211899578899,0.295518648737267
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",9,0.321544112269983,0.304810028572745,0.312953531101572
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",10,0.0681662025806184,0.344328139224518,0.113802975283835
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",11,0.51694948836945,0.353803166009519,0.420092582508537
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",12,0.50384666582173,0.271419682049953,0.35279204937681
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",13,0.360612592140486,0.383426147615586,0.371669617717559
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",14,0.405932966823764,0.304113535678424,0.347722886752271
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",15,0.351724108691199,0.2770802877574,0.309971806169898
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",16,0.344714986256558,0.353465143100406,0.349035232664814
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",17,0.372958748016541,0.341034012518679,0.356282655428268
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",18,0.358841652197098,0.308161006163723,0.331575903659115
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",19,0.307833690251586,0.271876501027912,0.288739952697365
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",20,0.265745513323619,0.334366674184427,0.296132774234853
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",21,0.371722827155755,0.363838451376467,0.367738383519892
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",22,0.436706672641213,0.452448939387702,0.444438449663913
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",23,0.412333971255991,0.432927085550171,0.422379673147821
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",24,0.57441204387584,0.453218886448466,0.506669036919388
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",25,0.60554291283105,0.464936691892331,0.526005572545711
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",26,0.384990970726391,0.470701524609046,0.423553643089019
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",27,0.445359751838901,0.405481012710867,0.424485827948915
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",28,0.226568727385429,0.46748909842329,0.305214943647988
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",29,0.30865467411724,0.410611845402301,0.352406964294638
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",30,0.424178076952635,0.569167819531558,0.486091525634168
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",31,0.263938833639958,0.528129587615095,0.351974409344604
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",32,0.326298900551673,0.437042821746422,0.37363762012256
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",33,0.314094832569103,0.422079438817535,0.360167356613927
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",34,1e-05,0.423715200532177,1.99995279959753e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",35,0.285418502874311,0.536583843374098,0.372629002681938
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",36,1e-05,0.397196449397843,1.9999496483503e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",37,0.297356507066708,0.451536616489939,0.358575467897221
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",38,0.39955139565167,0.421655691588861,0.410306054773378
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",39,0.29181681797231,0.449720205649606,0.353956485542746
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",40,0.286186703668254,0.406998856176013,0.336064880151084
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",41,0.378614339915529,0.414166206627901,0.395593119991248
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",42,0.330655258764122,0.434174843740841,0.375409374803127
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",43,0.323238404098724,0.477697090808346,0.385574234772573
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",44,0.36081983020435,0.416820805233254,0.386803891968093
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",45,0.40425816586528,0.463491447368407,0.431853151070058
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",46,0.347349278303984,0.423506954373864,0.381666071369646
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",47,0.369667987771248,0.363313721167336,0.366463311691907
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",48,0.335889130841183,0.436336523103372,0.379579970571602
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",49,0.390637875828378,0.420372651387197,0.404960167799618
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERB",50,0.43826112104461,0.413963091311988,0.425765721834645
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERT",1,0.436473238772266,0.439472766022328,0.437967866713319
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERT",2,0.737591980684143,0.407426010935966,0.524907312527544
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERT",3,0.472387742886387,0.39240013574642,0.428694756283165
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERT",4,0.243683634206939,0.41466513512227,0.306971355649265
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERT",5,1e-05,0.360025559768296,1.99994444993152e-05
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERT",6,0.340841638378368,0.364010150383349,0.352045119332059
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERT",7,0.257109201656261,0.312682206359562,0.282185625540331
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERT",8,0.251701213267573,0.303799604421095,0.275307350009534
"DS15","Istanbul Stock Exchange - DAX (Daily)","mc.lm_UNDERT",9,0.34952219925668,0.309589407110312,0.328346123462185
